ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
17:49:33,4412,38686,4,6599,9682,gradle#46140:ws100/pv197|gradle#4284:ws544/pv614|client#23812:ws5354/pv8181|gradle#16924:ws601/pv690
17:49:43,4382,38616,4,6603,9567,gradle#46140:ws100/pv197|gradle#4284:ws544/pv614|client#23812:ws5355/pv8063|gradle#16924:ws604/pv693
17:49:54,4358,38658,4,6605,9568,gradle#46140:ws100/pv197|gradle#4284:ws544/pv614|client#23812:ws5357/pv8064|gradle#16924:ws604/pv693
17:50:05,4354,38611,4,6605,9568,gradle#46140:ws100/pv197|gradle#4284:ws544/pv614|client#23812:ws5357/pv8064|gradle#16924:ws604/pv693
17:50:15,4383,38564,4,6605,9568,gradle#46140:ws100/pv197|gradle#4284:ws544/pv614|client#23812:ws5357/pv8064|gradle#16924:ws604/pv693
17:50:26,4371,38601,4,6606,9570,gradle#46140:ws100/pv197|gradle#4284:ws544/pv613|client#23812:ws5357/pv8065|gradle#16924:ws605/pv695
17:50:36,10340,29709,1,605,695,gradle#16924:ws605/pv695
17:50:47,10292,29756,1,605,695,gradle#16924:ws605/pv695
17:50:57,10271,29781,1,605,695,gradle#16924:ws605/pv695
17:51:08,10313,29726,1,605,695,gradle#16924:ws605/pv695
17:51:18,10323,29705,1,605,695,gradle#16924:ws605/pv695
17:51:29,10259,29764,1,605,695,gradle#16924:ws605/pv695
17:51:39,10266,29742,1,605,695,gradle#16924:ws605/pv695
17:51:50,10263,29766,1,605,695,gradle#16924:ws605/pv695
17:52:00,10193,29824,1,605,695,gradle#16924:ws605/pv695
17:52:11,10253,29770,1,605,695,gradle#16924:ws605/pv695
17:52:21,10262,29747,1,605,695,gradle#16924:ws605/pv695
17:52:32,10241,29765,1,605,695,gradle#16924:ws605/pv695
17:52:42,10139,29879,1,605,695,gradle#16924:ws605/pv695
17:52:53,10355,29690,1,605,695,gradle#16924:ws605/pv695
17:53:03,10372,29664,1,605,695,gradle#16924:ws605/pv695
17:53:14,10377,29647,1,605,695,gradle#16924:ws605/pv695
17:53:24,10392,29637,1,605,695,gradle#16924:ws605/pv695
17:53:35,10366,29648,1,605,695,gradle#16924:ws605/pv695
17:53:45,9642,30742,4,1297,1662,gradle#16924:ws605/pv695|gradle#7160:ws99/pv200|gradle#47020:ws574/pv646|other#26300:ws19/pv121
17:53:56,9323,31226,4,1631,2169,gradle#16924:ws605/pv695|gradle#7160:ws98/pv196|gradle#47020:ws538/pv610|client#21888:ws390/pv668
17:54:07,9643,31216,4,1319,2167,gradle#16924:ws605/pv695|gradle#7160:ws100/pv198|gradle#47020:ws557/pv629|other#48856:ws57/pv645
17:54:17,9614,31188,4,1335,2140,gradle#16924:ws605/pv695|gradle#7160:ws100/pv197|gradle#47020:ws534/pv604|client#43940:ws96/pv644
17:54:28,9551,31257,4,1368,2177,gradle#16924:ws605/pv695|gradle#7160:ws100/pv198|gradle#47020:ws538/pv608|client#13168:ws125/pv676
17:54:38,9407,31221,4,1516,2162,gradle#16924:ws605/pv695|gradle#7160:ws100/pv197|gradle#47020:ws538/pv608|client#13168:ws273/pv662
17:54:49,9304,31239,4,1619,2158,gradle#16924:ws605/pv695|gradle#7160:ws100/pv197|gradle#47020:ws538/pv608|client#13168:ws376/pv658
17:54:59,9263,31291,4,1619,2158,gradle#16924:ws605/pv695|gradle#7160:ws100/pv197|gradle#47020:ws538/pv608|client#13168:ws376/pv658
17:55:10,9110,31245,4,1771,2158,gradle#16924:ws605/pv695|gradle#7160:ws99/pv197|gradle#47020:ws538/pv609|client#13168:ws529/pv657
17:55:20,9138,31230,4,1772,2154,gradle#16924:ws605/pv695|gradle#7160:ws100/pv197|gradle#47020:ws535/pv605|client#13168:ws532/pv657
17:55:31,9122,31232,4,1781,2162,gradle#16924:ws605/pv695|gradle#7160:ws100/pv197|gradle#47020:ws535/pv605|client#13168:ws541/pv665
17:55:41,9045,31349,4,1775,2157,gradle#16924:ws605/pv695|gradle#7160:ws100/pv198|gradle#47020:ws536/pv606|client#13168:ws534/pv658
17:55:52,8955,31444,4,1777,2158,gradle#16924:ws606/pv695|gradle#7160:ws100/pv198|gradle#47020:ws536/pv606|client#13168:ws535/pv659
17:56:03,9015,31389,4,1784,2164,gradle#16924:ws606/pv695|gradle#7160:ws100/pv198|gradle#47020:ws536/pv606|client#13168:ws542/pv665
17:56:13,9050,31327,4,1777,2160,gradle#16924:ws606/pv695|gradle#7160:ws100/pv198|gradle#47020:ws536/pv607|client#13168:ws535/pv660
17:56:24,9170,31186,4,1789,2166,gradle#16924:ws606/pv695|gradle#7160:ws100/pv198|gradle#47020:ws536/pv607|client#13168:ws547/pv666
17:56:34,9165,32120,4,1821,3117,gradle#16924:ws606/pv695|gradle#7160:ws100/pv198|gradle#47020:ws770/pv994|client#37832:ws345/pv1230
17:56:45,10260,29771,1,606,695,gradle#16924:ws606/pv695
17:56:55,10275,29746,1,606,695,gradle#16924:ws606/pv695
17:57:06,10359,29662,1,606,695,gradle#16924:ws606/pv695
17:57:17,10338,29673,1,606,695,gradle#16924:ws606/pv695
