ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
21:24:15.762,2355,8001,54,100,2,37.27,P0,0x0000000000000000
21:24:16.866,2355,8001,54,100,2,37.70,P0,0x0000000000000000
21:24:17.975,2355,8001,53,100,2,39.85,P0,0x0000000000000000
21:24:19.084,2355,8001,53,100,2,36.11,P0,0x0000000000000000
21:24:20.209,2355,8001,52,51,1,36.74,P0,0x0000000000000000
21:24:21.328,2355,8001,53,100,2,40.85,P0,0x0000000000000000
21:24:22.433,2355,8001,53,100,2,44.01,P0,0x0000000000000000
21:24:23.542,2355,8001,53,100,2,43.16,P0,0x0000000000000000
21:24:25.508,2355,8001,53,100,2,38.20,P0,0x0000000000000000
21:24:27.528,2355,8001,54,100,2,38.32,P0,0x0000000000000000
21:24:29.172,2355,8001,53,100,2,37.88,P0,0x0000000000000000
21:24:30.372,2355,8001,53,100,2,38.09,P0,0x0000000000000000
21:24:31.478,2355,8001,53,100,2,37.88,P0,0x0000000000000000
21:24:32.584,2355,8001,53,100,2,37.64,P0,0x0000000000000000
21:24:33.705,2355,8001,53,100,2,37.35,P0,0x0000000000000000
21:24:34.816,2355,8001,53,100,2,38.87,P0,0x0000000000000000
21:24:35.924,2355,8001,52,100,2,35.47,P0,0x0000000000000000
21:24:37.047,2355,8001,53,100,2,37.70,P0,0x0000000000000000
21:24:38.155,2355,7001,53,100,2,34.10,P3,0x0000000000000000
21:24:39.453,2355,7001,52,100,3,32.33,P3,0x0000000000000000
21:24:41.385,2355,7001,52,100,2,32.99,P3,0x0000000000000000
21:24:42.562,2355,7001,52,100,2,31.67,P3,0x0000000000000000
21:24:43.683,2355,6001,52,100,3,32.92,P3,0x0000000000000000
21:24:44.810,2355,8001,53,100,2,36.12,P0,0x0000000000000000
21:24:45.921,2355,8001,53,100,2,38.15,P0,0x0000000000000000
21:24:47.038,2355,8001,53,100,2,46.53,P0,0x0000000000000000
21:24:48.163,2355,8001,53,100,2,41.09,P0,0x0000000000000000
21:24:49.272,2355,8001,53,100,2,38.34,P0,0x0000000000000000
21:24:50.380,2355,8001,52,59,2,36.56,P0,0x0000000000000000
21:24:51.488,2355,8001,52,100,2,35.94,P0,0x0000000000000000
21:24:52.598,2355,8001,52,100,2,36.30,P0,0x0000000000000000
21:24:53.817,2355,8001,52,100,2,35.40,P0,0x0000000000000000
21:24:55.342,2355,6001,52,100,3,31.77,P4,0x0000000000000000
21:24:56.516,2355,6001,52,100,3,32.60,P4,0x0000000000000000
21:24:57.624,2355,7001,52,100,2,32.39,P3,0x0000000000000000
21:24:58.749,2355,8001,53,100,2,38.63,P0,0x0000000000000000
21:24:59.873,2355,8001,53,100,2,40.83,P0,0x0000000000000000
21:25:00.978,2355,8001,54,100,2,40.99,P0,0x0000000000000000
21:25:02.088,2355,8001,53,100,2,41.31,P0,0x0000000000000000
21:25:03.197,2355,8001,53,100,2,41.05,P0,0x0000000000000000
21:25:04.306,2355,8001,53,100,2,40.79,P0,0x0000000000000000
21:25:05.416,2355,8001,55,100,2,52.46,P0,0x0000000000000000
21:25:06.530,2355,8001,56,100,2,49.49,P0,0x0000000000000000
21:25:07.645,2355,8001,55,100,2,51.81,P0,0x0000000000000000
21:25:08.763,2355,8001,55,100,2,51.19,P0,0x0000000000000000
21:25:09.975,2355,8001,55,100,2,51.82,P0,0x0000000000000000
21:25:11.089,2355,8001,55,100,2,52.16,P0,0x0000000000000000
21:25:12.197,2355,8001,53,100,2,44.67,P0,0x0000000000000000
21:25:13.333,2355,8001,53,100,2,39.61,P0,0x0000000000000000
21:25:14.435,2355,8001,53,100,2,38.23,P0,0x0000000000000000
21:25:15.531,2355,8001,52,100,2,38.56,P0,0x0000000000000000
21:25:16.641,2355,8001,52,100,2,39.52,P0,0x0000000000000000
21:25:17.768,2355,8001,52,100,2,38.06,P0,0x0000000000000000
21:25:18.874,2355,8001,51,100,2,37.53,P0,0x0000000000000000
21:25:19.998,2355,8001,53,100,2,45.05,P0,0x0000000000000000
21:25:21.113,2355,8001,54,100,2,45.96,P0,0x0000000000000000
21:25:22.219,2355,8001,54,100,2,45.80,P0,0x0000000000000000
21:25:23.336,2355,8001,54,100,2,45.03,P0,0x0000000000000000
21:25:24.682,2355,8001,54,100,2,45.97,P0,0x0000000000000000
21:25:25.817,2355,8001,53,28,2,44.59,P0,0x0000000000000000
21:25:26.950,2355,8001,54,100,2,39.17,P0,0x0000000000000000
21:25:28.092,2355,8001,54,100,2,42.51,P0,0x0000000000000000
21:25:29.224,2355,8001,54,100,2,42.07,P0,0x0000000000000000
21:25:30.334,2355,8001,54,100,2,42.10,P0,0x0000000000000000
21:25:31.479,2355,8001,54,100,2,42.26,P0,0x0000000000000000
21:25:32.613,2355,8001,54,100,2,42.42,P0,0x0000000000000000
21:25:33.722,2355,8001,54,100,2,42.40,P0,0x0000000000000000
21:25:34.834,2355,8001,55,9,0,38.25,P0,0x0000000000000000
21:25:35.944,2355,8001,56,100,2,55.96,P0,0x0000000000000000
21:25:37.053,2355,8001,57,100,2,59.53,P0,0x0000000000000000
21:25:38.161,2355,8001,57,100,2,57.23,P0,0x0000000000000000
21:25:39.287,2355,8001,58,100,2,57.41,P0,0x0000000000000000
21:25:40.473,2340,8001,57,100,2,59.26,P0,0x0000000000000000
21:25:41.578,2355,8001,54,100,2,50.06,P0,0x0000000000000000
21:25:42.690,2355,8001,55,100,3,44.91,P0,0x0000000000000000
21:25:43.809,2355,8001,55,100,2,44.77,P0,0x0000000000000000
21:25:44.940,2355,8001,55,100,2,49.28,P0,0x0000000000000000
21:25:46.055,2355,8001,55,100,2,47.72,P0,0x0000000000000000
21:25:47.172,2355,8001,55,100,2,51.38,P0,0x0000000000000000
21:25:48.298,2355,8001,55,100,2,50.06,P0,0x0000000000000000
21:25:49.418,2340,8001,58,100,3,61.08,P0,0x0000000000000000
21:25:50.537,2340,8001,57,100,3,66.98,P0,0x0000000000000000
21:25:51.645,2340,8001,58,100,3,81.54,P0,0x0000000000000000
21:25:52.755,2340,8001,58,100,2,52.99,P0,0x0000000000000000
21:25:53.887,2340,8001,59,100,2,67.18,P0,0x0000000000000000
21:25:55.018,2340,8001,59,100,3,65.77,P0,0x0000000000000000
21:25:56.137,2340,8001,58,100,2,61.31,P0,0x0000000000000000
21:25:57.259,2340,8001,58,100,2,60.11,P0,0x0000000000000000
21:25:58.374,2340,8001,57,100,2,56.56,P0,0x0000000000000000
21:25:59.482,2340,8001,57,100,2,56.71,P0,0x0000000000000000
21:26:00.593,2340,8001,57,100,2,56.31,P0,0x0000000000000000
21:26:01.714,2340,8001,57,100,2,52.43,P0,0x0000000000000000
21:26:02.819,2340,8001,56,100,2,56.48,P0,0x0000000000000000
21:26:03.925,2355,8001,55,100,3,39.95,P0,0x0000000000000000
21:26:05.035,2355,8001,55,100,2,31.81,P0,0x0000000000000000
21:26:06.147,2355,8001,55,100,3,47.10,P0,0x0000000000000000
21:26:07.253,2355,8001,55,100,3,47.78,P0,0x0000000000000000
21:26:08.362,2355,8001,55,100,3,48.02,P0,0x0000000000000000
21:26:09.497,2355,8001,55,100,3,45.47,P0,0x0000000000000000
21:26:10.619,2355,8001,55,100,3,47.74,P0,0x0000000000000000
21:26:11.727,2355,8001,55,100,2,47.86,P0,0x0000000000000000
21:26:12.830,2355,8001,55,100,2,47.89,P0,0x0000000000000000
21:26:13.935,2355,8001,55,100,3,47.54,P0,0x0000000000000000
21:26:15.043,2355,8001,55,100,2,48.27,P0,0x0000000000000000
21:26:16.153,2355,8001,55,100,2,47.66,P0,0x0000000000000000
21:26:17.262,2355,8001,55,100,3,48.18,P0,0x0000000000000000
21:26:18.379,2355,8001,55,100,3,48.35,P0,0x0000000000000000
21:26:19.490,2355,8001,56,100,2,48.40,P0,0x0000000000000000
21:26:20.612,2355,8001,55,100,3,47.78,P0,0x0000000000000000
21:26:21.719,2355,8001,56,100,3,48.57,P0,0x0000000000000000
21:26:22.824,2355,8001,56,100,2,47.65,P0,0x0000000000000000
21:26:23.946,2355,8001,56,100,3,48.22,P0,0x0000000000000000
21:26:25.069,2355,8001,56,100,3,48.20,P0,0x0000000000000000
21:26:26.176,2355,8001,56,100,3,48.44,P0,0x0000000000000000
21:26:27.285,2355,8001,56,100,3,48.04,P0,0x0000000000000000
21:26:28.393,2355,8001,56,100,3,48.51,P0,0x0000000000000000
21:26:29.501,2355,8001,57,100,3,48.25,P0,0x0000000000000000
21:26:30.605,2355,8001,57,100,3,48.54,P0,0x0000000000000000
21:26:31.717,2355,8001,57,100,3,48.36,P0,0x0000000000000000
21:26:32.837,2355,8001,57,100,3,48.40,P0,0x0000000000000000
21:26:33.971,2355,8001,57,100,3,48.68,P0,0x0000000000000000
21:26:35.082,2355,8001,57,100,3,48.35,P0,0x0000000000000000
21:26:36.193,2355,8001,57,100,3,47.31,P0,0x0000000000000000
21:26:37.311,2355,8001,57,100,3,48.68,P0,0x0000000000000000
21:26:38.418,2355,8001,57,100,3,48.22,P0,0x0000000000000000
21:26:39.524,2355,8001,57,100,3,48.47,P0,0x0000000000000000
21:26:40.651,2355,8001,57,100,3,48.80,P0,0x0000000000000000
21:26:41.763,2355,8001,57,100,2,49.34,P0,0x0000000000000000
21:26:42.872,2355,8001,57,100,3,48.49,P0,0x0000000000000000
21:26:43.984,2355,8001,57,100,3,54.09,P0,0x0000000000000000
21:26:45.102,2355,8001,57,100,3,48.61,P0,0x0000000000000000
21:26:46.208,2355,8001,57,100,2,49.07,P0,0x0000000000000000
21:26:47.317,2355,8001,57,100,3,48.87,P0,0x0000000000000000
21:26:48.430,2355,8001,57,100,2,48.43,P0,0x0000000000000000
21:26:49.537,2355,8001,57,100,2,48.84,P0,0x0000000000000000
21:26:50.669,2355,8001,54,9,1,25.57,P0,0x0000000000000000
21:26:51.799,1065,8001,53,17,2,22.01,P0,0x0000000000000001
21:26:52.906,855,810,52,23,15,12.86,P5,0x0000000000000001
21:26:54.341,600,810,52,24,15,11.24,P5,0x0000000000000001
21:26:55.506,450,810,52,20,16,10.92,P5,0x0000000000000001
21:26:56.604,300,405,52,12,30,8.73,P8,0x0000000000000001
21:26:57.706,240,405,52,9,30,8.63,P8,0x0000000000000001
21:26:58.822,210,405,52,12,28,8.61,P8,0x0000000000000001
21:26:59.952,210,405,52,19,31,8.58,P8,0x0000000000000001
21:27:01.069,210,405,52,30,32,8.69,P8,0x0000000000000001
21:27:02.172,210,405,52,14,31,8.88,P8,0x0000000000000001
21:27:03.274,210,405,52,15,31,8.56,P8,0x0000000000000001
21:27:04.403,210,405,52,14,31,8.49,P8,0x0000000000000001
21:27:05.506,210,405,52,7,30,8.51,P8,0x0000000000000001
21:27:06.618,210,405,52,29,32,8.60,P8,0x0000000000000001
21:27:07.730,210,405,52,19,31,8.55,P8,0x0000000000000001
21:27:08.845,210,405,52,19,31,8.59,P8,0x0000000000000001
21:27:09.973,225,405,52,18,26,8.46,P8,0x0000000000000001
21:27:11.089,210,405,52,19,31,8.62,P8,0x0000000000000001
21:27:12.205,210,405,52,19,31,8.62,P8,0x0000000000000001
21:27:13.315,210,405,52,19,31,8.60,P8,0x0000000000000001
21:27:14.443,210,405,52,19,31,8.57,P8,0x0000000000000001
21:27:15.554,210,405,52,19,31,8.62,P8,0x0000000000000001
21:27:16.694,210,405,52,31,32,8.59,P8,0x0000000000000001
21:27:17.805,210,405,52,31,32,8.68,P8,0x0000000000000001
21:27:18.918,210,405,52,19,31,8.54,P8,0x0000000000000001
21:27:20.031,210,405,52,19,31,8.60,P8,0x0000000000000001
21:27:21.155,210,405,52,19,31,8.57,P8,0x0000000000000001
21:27:22.277,210,405,52,7,30,8.58,P8,0x0000000000000001
21:27:23.382,210,405,52,13,30,8.58,P8,0x0000000000000001
21:27:24.506,225,405,52,6,27,8.47,P8,0x0000000000000001
21:27:25.633,225,405,53,12,29,8.55,P8,0x0000000000000001
21:27:26.749,210,405,52,21,31,8.60,P8,0x0000000000000001
21:27:27.853,210,405,52,19,31,8.64,P8,0x0000000000000001
21:27:28.962,210,405,52,42,32,8.84,P8,0x0000000000000001
21:27:30.076,210,405,52,19,31,8.63,P8,0x0000000000000001
21:27:31.181,210,405,52,7,30,8.64,P8,0x0000000000000001
21:27:32.283,210,405,52,7,30,8.61,P8,0x0000000000000001
21:27:33.409,210,405,52,19,31,8.54,P8,0x0000000000000001
21:27:34.528,210,405,52,19,31,8.58,P8,0x0000000000000001
21:27:35.639,210,405,52,19,31,9.53,P8,0x0000000000000001
21:27:36.741,210,405,52,19,31,8.59,P8,0x0000000000000001
21:27:37.872,210,405,52,9,30,8.59,P8,0x0000000000000001
21:27:38.990,210,405,52,19,31,8.53,P8,0x0000000000000001
21:27:40.118,225,405,52,18,31,8.48,P8,0x0000000000000001
21:27:41.230,210,405,52,19,31,8.57,P8,0x0000000000000001
21:27:42.346,210,405,52,19,31,8.56,P8,0x0000000000000001
21:27:43.458,210,405,52,7,30,8.55,P8,0x0000000000000001
21:27:44.569,210,405,51,7,30,8.42,P8,0x0000000000000001
21:27:45.673,210,405,51,19,31,8.58,P8,0x0000000000000001
21:27:46.786,210,405,51,19,31,8.45,P8,0x0000000000000001
21:27:47.901,210,405,51,27,31,8.51,P8,0x0000000000000001
21:27:49.007,210,405,51,19,31,8.45,P8,0x0000000000000001
21:27:50.122,210,405,51,7,30,8.44,P8,0x0000000000000001
21:27:51.243,210,405,51,19,31,8.38,P8,0x0000000000000001
21:27:52.355,210,405,51,30,32,8.50,P8,0x0000000000000001
21:27:53.467,210,405,51,41,33,8.41,P8,0x0000000000000001
21:27:54.573,225,405,51,28,29,8.35,P8,0x0000000000000001
21:27:55.701,225,405,51,18,31,8.34,P8,0x0000000000000001
21:27:56.805,210,405,50,19,31,8.43,P8,0x0000000000000001
21:27:57.916,210,405,50,19,31,8.40,P8,0x0000000000000001
21:27:59.037,210,405,50,19,30,8.38,P8,0x0000000000000001
