ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
10:59:32,4261,38362,4,6473,9434,gradle#18952:ws595/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5224/pv7939
10:59:43,4247,38374,4,6474,9435,gradle#18952:ws595/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5225/pv7940
10:59:53,4250,38386,4,6474,9435,gradle#18952:ws595/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5225/pv7940
11:00:04,3807,38841,4,6980,9936,gradle#18952:ws595/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5731/pv8441
11:00:14,3827,38807,4,6982,9936,gradle#18952:ws596/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5732/pv8441
11:00:25,3850,38765,4,6991,9937,gradle#18952:ws596/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5741/pv8442
11:00:35,3855,38753,4,6992,9937,gradle#18952:ws596/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5742/pv8442
11:00:46,4160,38464,4,6656,9600,gradle#18952:ws596/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5406/pv8105
11:00:56,4168,38629,4,6654,9750,gradle#18952:ws596/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5404/pv8255
11:01:07,4161,38566,4,6657,9718,gradle#18952:ws596/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5407/pv8223
11:01:17,4167,38465,4,6654,9626,gradle#18952:ws597/pv675|gradle#2472:ws101/pv198|gradle#4144:ws554/pv623|client#37848:ws5402/pv8130
11:01:28,3990,38589,4,6654,9610,gradle#18952:ws597/pv675|gradle#2472:ws101/pv198|gradle#4144:ws554/pv623|client#37848:ws5402/pv8114
11:01:39,4007,38577,4,6654,9597,gradle#18952:ws597/pv675|gradle#2472:ws101/pv198|gradle#4144:ws554/pv623|client#37848:ws5402/pv8101
11:01:49,3963,38656,4,6662,9606,gradle#18952:ws605/pv684|gradle#2472:ws101/pv198|gradle#4144:ws554/pv623|client#37848:ws5402/pv8101
