ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
17:42:35.506,2340,8001,58,100,3,37.45,P0,0x0000000000000000
17:42:36.635,2340,8001,58,100,3,46.71,P0,0x0000000000000000
17:42:37.743,2340,7001,57,88,2,38.63,P3,0x0000000000000000
17:42:38.866,2340,8001,58,84,3,34.66,P0,0x0000000000000000
17:42:40.004,2340,8001,58,100,3,46.22,P0,0x0000000000000000
17:42:41.145,2340,8001,56,100,2,41.44,P0,0x0000000000000000
17:42:42.451,2340,7001,56,91,2,33.13,P3,0x0000000000000000
17:42:43.664,2340,8001,58,100,3,46.59,P0,0x0000000000000000
17:42:44.788,2340,8001,56,100,2,44.23,P0,0x0000000000000000
17:42:45.911,2340,8001,56,95,3,33.89,P0,0x0000000000000000
17:42:47.073,2340,8001,58,100,3,40.37,P0,0x0000000000000000
17:42:48.249,2340,8001,58,100,3,45.99,P0,0x0000000000000000
17:42:49.389,2340,7001,56,93,2,36.13,P3,0x0000000000000000
17:42:50.550,2340,8001,58,100,3,37.42,P0,0x0000000000000000
17:42:51.691,2340,8001,57,100,3,45.64,P0,0x0000000000000000
17:42:52.815,2340,7001,56,96,2,39.48,P3,0x0000000000000000
17:42:53.936,2340,8001,56,94,2,34.27,P0,0x0000000000000000
17:42:55.042,2340,8001,57,100,3,45.51,P0,0x0000000000000000
17:42:56.153,2340,8001,55,96,2,35.10,P0,0x0000000000000000
17:42:57.344,2340,7001,55,93,3,32.64,P3,0x0000000000000000
17:42:58.567,2340,8001,57,100,3,42.38,P0,0x0000000000000000
17:42:59.679,2340,8001,55,94,2,36.49,P0,0x0000000000000000
17:43:00.824,2340,7001,55,94,3,32.77,P3,0x0000000000000000
17:43:01.972,2340,8001,56,100,3,40.13,P0,0x0000000000000000
17:43:03.098,2340,8001,57,100,3,45.97,P0,0x0000000000000000
17:43:04.242,2340,7001,54,89,3,35.30,P3,0x0000000000000000
17:43:05.368,2340,8001,56,100,3,37.94,P0,0x0000000000000000
